,TIME,STUWVAK,VERSCHIL,Q
62,2020-09-03T00:00:00Z,103BIC_103BIB,0.0481770958333333,0.0971622105781475
63,2020-09-04T00:00:00Z,103BIC_103BIB,0.0450208166666668,0.0757612610873251
64,2020-09-05T00:00:00Z,103BIC_103BIB,0.0450000624999999,0.0946184386121527
65,2020-09-06T00:00:00Z,103BIC_103BIB,0.0471145791666667,0.0774697797200846
66,2020-09-07T00:00:00Z,103BIC_103BIB,0.0478095285714284,0.0676156050429028
67,2020-09-08T00:00:00Z,103BIC_103BIB,0.0611249999999999,0.1717586371659846
68,2020-09-09T00:00:00Z,103BIC_103BIB,0.0649791291666667,0.2279410696593328
69,2020-09-10T00:00:00Z,103BIC_103BIB,0.0648437708333333,0.2538723078443706
70,2020-09-11T00:00:00Z,103BIC_103BIB,0.0606562666666665,0.2603822735241196
71,2020-09-12T00:00:00Z,103BIC_103BIB,0.0635417791666666,0.2405686117778133
72,2020-09-13T00:00:00Z,103BIC_103BIB,0.0628540999999999,0.239189571553031
73,2020-09-14T00:00:00Z,103BIC_103BIB,0.0672812458333331,0.2409189360558628
74,2020-09-15T00:00:00Z,103BIC_103BIB,0.074666675,0.2498507952571628
75,2020-09-16T00:00:00Z,103BIC_103BIB,0.0833229374999999,0.2480173294372208
76,2020-09-17T00:00:00Z,103BIC_103BIB,0.0816667124999999,0.2374310898452573
77,2020-09-18T00:00:00Z,103BIC_103BIB,0.0777291708333333,0.2165295508431709
78,2020-09-19T00:00:00Z,103BIC_103BIB,0.0778750333333332,0.1967640291958096
79,2020-09-20T00:00:00Z,103BIC_103BIB,0.0825937374999999,0.2191164399271181
80,2020-09-21T00:00:00Z,103BIC_103BIB,0.0848749583333334,0.2373564592554838
81,2020-09-22T00:00:00Z,103BIC_103BIB,0.0840104416666667,0.2413023334083813
82,2020-09-23T00:00:00Z,103BIC_103BIB,0.0854062583333333,0.2075534581503181
83,2020-09-24T00:00:00Z,103BIC_103BIB,0.0912187541666666,0.1879339793886107
84,2020-09-25T00:00:00Z,103BIC_103BIB,0.0929895875,0.1784249631016817
85,2020-09-26T00:00:00Z,103BIC_103BIB,0.0966562416666667,0.1741204367779321
86,2020-09-27T00:00:00Z,103BIC_103BIB,0.0831353166666668,0.2003683641328268
87,2020-09-28T00:00:00Z,103BIC_103BIB,0.0946561583333333,0.1898233365552498
88,2020-09-29T00:00:00Z,103BIC_103BIB,0.1013125083333332,0.1631415638289838
89,2020-09-30T00:00:00Z,103BIC_103BIB,0.0926979208333333,0.139049008838429
90,2020-10-01T00:00:00Z,103BIC_103BIB,0.0826145875000001,0.075021422101869
91,2020-10-02T00:00:00Z,103BIC_103BIB,0.0800000699999999,0.0190671164724437
92,2020-10-03T00:00:00Z,103BIC_103BIB,0.0932498250000002,0.0036262494115148
93,2020-10-04T00:00:00Z,103BIC_103BIB,0.087138888888889,0.001093393092141
94,2020-10-05T00:00:00Z,103BIC_103BIB,0.0869999625000003,0.0003802465640497
95,2020-10-07T00:00:00Z,103BIC_103BIB,0.0194166533333334,0.0083315226783459
96,2020-10-08T00:00:00Z,103BIC_103BIB,0.0244808692307693,0.0113091870244221
97,2020-10-09T00:00:00Z,103BIC_103BIB,0.0165734529411762,0.0013908303272134
98,2020-10-10T00:00:00Z,103BIC_103BIB,0.025785714285714,0.0040844886712622
99,2020-10-11T00:00:00Z,103BIC_103BIB,0.0243499999999997,0.005553386193048
100,2020-10-12T00:00:00Z,103BIC_103BIB,0.0220312124999999,0.0005427392850156
101,2020-10-13T00:00:00Z,103BIC_103BIB,0.0212221888888889,0.0002490294236429
102,2020-11-03T00:00:00Z,103BIC_103BIB,0.0205832833333335,0.0115654991552589
103,2020-11-04T00:00:00Z,103BIC_103BIB,0.0183958166666665,0.004830479816907
104,2020-11-05T00:00:00Z,103BIC_103BIB,0.0179166222222223,0.0102042128615574
105,2021-01-19T00:00:00Z,103BIC_103BIB,0.0165682272727272,0.177715149097096
106,2021-01-20T00:00:00Z,103BIC_103BIB,0.0052884615384614,0.1492145055406487
107,2021-01-26T00:00:00Z,103BIC_103BIB,0.0088929,0.0428043954643576
108,2021-04-29T00:00:00Z,103BIC_103BIB,0.0483124999999999,0.0018430712807055
109,2021-05-04T00:00:00Z,103BIC_103BIB,0.0410998399999999,0.0021214621628468
110,2021-05-05T00:00:00Z,103BIC_103BIB,0.0389500000000001,0.0006813976017199
111,2021-05-06T00:00:00Z,103BIC_103BIB,0.0453749999999999,0.0011874029964024
112,2021-05-07T00:00:00Z,103BIC_103BIB,0.0399167666666665,0.0005669229812968
113,2021-05-08T00:00:00Z,103BIC_103BIB,0.0427499999999998,3.049996721315304e-05
114,2021-05-09T00:00:00Z,103BIC_103BIB,0.0412499999999997,0.0001547958495264
115,2021-05-15T00:00:00Z,103BIC_103BIB,0.04875,0.0001551214805712
116,2021-05-17T00:00:00Z,103BIC_103BIB,0.0447499999999999,0.000166217119103
117,2021-05-19T00:00:00Z,103BIC_103BIB,0.0503748499999998,0.0001188975192356
118,2021-05-24T00:00:00Z,103BIC_103BIB,0.0561249999999993,0.0002786249754099
119,2021-05-28T00:00:00Z,103BIC_103BIB,0.0658749857142856,0.0484571560742692
120,2021-05-29T00:00:00Z,103BIC_103BIB,0.0644790708333332,0.0292734763039909
121,2021-05-30T00:00:00Z,103BIC_103BIB,0.0663228583333331,0.0346489125518191
122,2021-05-31T00:00:00Z,103BIC_103BIB,0.0701666375,0.0447404129208357
123,2021-06-01T00:00:00Z,103BIC_103BIB,0.0726041833333333,0.0450997467062639
124,2021-06-02T00:00:00Z,103BIC_103BIB,0.0755208666666668,0.0407164989469733
125,2021-06-03T00:00:00Z,103BIC_103BIB,0.0779270416666666,0.0398257623336529
126,2021-06-04T00:00:00Z,103BIC_103BIB,0.0783542416666665,0.0225242995245027
127,2021-06-05T00:00:00Z,103BIC_103BIB,0.0828472888888888,0.0189184578262523
128,2021-06-06T00:00:00Z,103BIC_103BIB,0.0923295727272728,0.0210870573894891
129,2021-06-07T00:00:00Z,103BIC_103BIB,0.0771457833333332,0.0293205381564378
130,2021-06-08T00:00:00Z,103BIC_103BIB,0.0719062708333334,0.0250279783918539
131,2021-06-09T00:00:00Z,103BIC_103BIB,0.0796458708333331,0.0314714914500615
132,2021-06-10T00:00:00Z,103BIC_103BIB,0.0841771249999999,0.0220284276255845
133,2021-06-11T00:00:00Z,103BIC_103BIB,0.0902187583333334,0.0242704647295115
134,2021-06-12T00:00:00Z,103BIC_103BIB,0.0903229541666666,0.0116330958039361
135,2021-06-13T00:00:00Z,103BIC_103BIB,0.0958853083333332,0.0045277605165756
136,2021-06-14T00:00:00Z,103BIC_103BIB,0.1065000416666667,0.0023421836749793
137,2021-06-15T00:00:00Z,103BIC_103BIB,0.1104431090909091,0.0024699731858692
138,2021-06-16T00:00:00Z,103BIC_103BIB,0.1119219249999999,0.0152794623510923
139,2021-06-17T00:00:00Z,103BIC_103BIB,0.1099271041666666,0.0178598380985607
140,2021-06-18T00:00:00Z,103BIC_103BIB,0.0905728666666666,0.0282137200734232
141,2021-06-19T00:00:00Z,103BIC_103BIB,0.0859583625000001,0.0187905786898978
142,2021-06-20T00:00:00Z,103BIC_103BIB,0.0791667249999998,0.026530454606906
143,2021-06-21T00:00:00Z,103BIC_103BIB,0.0683020791666666,0.0559927075271003
144,2021-06-22T00:00:00Z,103BIC_103BIB,0.0639895249999999,0.0379581996406011
218,2018-02-27T00:00:00Z,104B_104OYE,0.4237146041666667,0.35203646125
219,2018-02-28T00:00:00Z,104B_104OYE,0.4198646375000002,0.3592010416666666
221,2018-03-02T00:00:00Z,104B_104OYE,0.4074270708333333,0.3313864566666666
222,2018-03-03T00:00:00Z,104B_104OYE,0.4027770541666668,0.330296875
223,2018-03-04T00:00:00Z,104B_104OYE,0.4023541375,0.3394910641666666
224,2018-03-05T00:00:00Z,104B_104OYE,0.3310104291666667,0.1730270816666666
226,2018-03-07T00:00:00Z,104B_104OYE,0.2823437625000001,0.0515760417083333
227,2018-03-08T00:00:00Z,104B_104OYE,0.3853437708333332,0.2478354166666666
228,2018-03-09T00:00:00Z,104B_104OYE,0.4076886958333333,0.3048887516666667
229,2018-03-10T00:00:00Z,104B_104OYE,0.3560326125,0.2210139591666666
230,2018-03-11T00:00:00Z,104B_104OYE,0.3457850666666667,0.1836789579166666
231,2018-03-12T00:00:00Z,104B_104OYE,0.3523645749999999,0.1869072916666666
232,2018-03-13T00:00:00Z,104B_104OYE,0.4155542791666666,0.2437080029166666
233,2018-03-14T00:00:00Z,104B_104OYE,0.4258124958333333,0.30437500125
234,2018-03-15T00:00:00Z,104B_104OYE,0.4097188083333333,0.3033395849999999
235,2018-03-16T00:00:00Z,104B_104OYE,0.4136458833333333,0.2807947925
236,2018-03-17T00:00:00Z,104B_104OYE,0.3936979333333333,0.27243333625
237,2018-03-18T00:00:00Z,104B_104OYE,0.3303437541666666,0.18315729125
238,2018-03-19T00:00:00Z,104B_104OYE,0.3183125208333333,0.1575864591666666
239,2018-03-20T00:00:00Z,104B_104OYE,0.3191979499999999,0.152959375
240,2018-03-21T00:00:00Z,104B_104OYE,0.3422812416666666,0.1647687495833333
241,2018-03-22T00:00:00Z,104B_104OYE,0.3721250208333333,0.2347135429166666
242,2018-03-23T00:00:00Z,104B_104OYE,0.3847812833333334,0.2856479175
243,2018-03-24T00:00:00Z,104B_104OYE,0.3589396208333333,0.2844702108333333
244,2018-03-25T00:00:00Z,104B_104OYE,0.3376041583333334,0.2192750033333333
245,2018-03-26T00:00:00Z,104B_104OYE,0.3218451708333333,0.1408377908333333
246,2018-03-27T00:00:00Z,104B_104OYE,0.3484895708333334,0.2068083329166666
247,2018-03-28T00:00:00Z,104B_104OYE,0.3704687500000001,0.2003770849166666
258,2018-04-08T00:00:00Z,104B_104OYE,0.3949851666666666,0.3426906208333333
259,2018-04-09T00:00:00Z,104B_104OYE,0.3934585041666666,0.3402125
260,2018-04-10T00:00:00Z,104B_104OYE,0.3794274041666667,0.3138958316666667
261,2018-04-11T00:00:00Z,104B_104OYE,0.4217916333333333,0.3344260425
262,2018-04-12T00:00:00Z,104B_104OYE,0.4151354374999999,0.3288541641666666
263,2018-04-13T00:00:00Z,104B_104OYE,0.3802790000000001,0.2703840579166666
264,2018-04-14T00:00:00Z,104B_104OYE,0.3674812749999999,0.2234406254166666
265,2018-04-15T00:00:00Z,104B_104OYE,0.3861041458333332,0.2600520816666666
266,2018-04-16T00:00:00Z,104B_104OYE,0.3446562458333333,0.2661291675
267,2018-04-17T00:00:00Z,104B_104OYE,0.2881145874999999,0.3219645816666667
268,2018-04-18T00:00:00Z,104B_104OYE,0.2233374416666667,0.2312152081666666
269,2018-04-19T00:00:00Z,104B_104OYE,0.1852708166666666,0.137790625
270,2018-04-20T00:00:00Z,104B_104OYE,0.1994374833333332,0.15713645875
271,2018-04-21T00:00:00Z,104B_104OYE,0.2371065333333333,0.2281627641666666
272,2018-04-22T00:00:00Z,104B_104OYE,0.2465682708333333,0.2728020841666667
273,2018-04-23T00:00:00Z,104B_104OYE,0.2598229374999999,0.2998177145833333
274,2018-04-24T00:00:00Z,104B_104OYE,0.2392395916666666,0.3017718766666666
275,2018-04-25T00:00:00Z,104B_104OYE,0.2247871749999998,0.2278322930833333
276,2018-04-26T00:00:00Z,104B_104OYE,0.2777187458333332,0.3152999966666666
277,2018-04-27T00:00:00Z,104B_104OYE,0.2877916541666666,0.411690625
278,2018-04-28T00:00:00Z,104B_104OYE,0.2611458375,0.3648906241666667
279,2018-04-29T00:00:00Z,104B_104OYE,0.2503437833333333,0.344116665
284,2018-05-04T00:00:00Z,104B_104OYE,0.3827604083333334,0.6855156233333334
285,2018-05-05T00:00:00Z,104B_104OYE,0.3606875125,0.6060916654166667
286,2018-05-06T00:00:00Z,104B_104OYE,0.3502728916666667,0.5719831233333333
287,2018-05-07T00:00:00Z,104B_104OYE,0.2313750458333334,0.3135760416666666
288,2018-05-08T00:00:00Z,104B_104OYE,0.1862500041666667,0.2742687508333333
289,2018-05-09T00:00:00Z,104B_104OYE,0.1666770291666668,0.3086406270833333
290,2018-05-10T00:00:00Z,104B_104OYE,0.2010312166666667,0.4667354175
291,2018-05-11T00:00:00Z,104B_104OYE,0.2017916291666666,0.49110937625
292,2018-05-12T00:00:00Z,104B_104OYE,0.1887083291666666,0.4970979199999999
293,2018-05-13T00:00:00Z,104B_104OYE,0.1860875541666666,0.45003646125
294,2018-05-14T00:00:00Z,104B_104OYE,0.1919999583333334,0.4371104166666666
295,2018-05-15T00:00:00Z,104B_104OYE,0.1417291041666668,0.1991656266658333
296,2018-05-16T00:00:00Z,104B_104OYE,0.1674375749999999,0.3195479166666666
297,2018-05-17T00:00:00Z,104B_104OYE,0.1658542166666665,0.2943593775
298,2018-05-18T00:00:00Z,104B_104OYE,0.1530024916666665,0.2459440337499999
299,2018-05-19T00:00:00Z,104B_104OYE,0.1468124958333331,0.2216468754166666
300,2018-05-20T00:00:00Z,104B_104OYE,0.1488646749999999,0.2276322916666666
301,2018-05-21T00:00:00Z,104B_104OYE,0.159583275,0.2356177083333333
302,2018-05-22T00:00:00Z,104B_104OYE,0.1783750166666665,0.2740968745833333
303,2018-05-23T00:00:00Z,104B_104OYE,0.2448874749999998,0.4836144658333333
304,2018-05-24T00:00:00Z,104B_104OYE,0.1923333499999999,0.30712783585
305,2018-05-25T00:00:00Z,104B_104OYE,0.1999526,0.2981495841666666
306,2018-05-26T00:00:00Z,104B_104OYE,0.1630624958333334,0.1753552075
307,2018-05-27T00:00:00Z,104B_104OYE,0.2854166916666667,0.7631437508333333
308,2018-05-28T00:00:00Z,104B_104OYE,0.3685743208333333,0.9825143691666668
309,2018-05-29T00:00:00Z,104B_104OYE,0.2646990791666665,0.5673222929166667
310,2018-05-30T00:00:00Z,104B_104OYE,0.3138372416666666,0.6932008316666667
311,2018-05-31T00:00:00Z,104B_104OYE,0.3110729749999998,0.6246156233333333
312,2018-06-01T00:00:00Z,104B_104OYE,0.3161979208333332,0.6373802045833333
313,2018-06-02T00:00:00Z,104B_104OYE,0.3335937166666666,0.6330437441666666
314,2018-06-03T00:00:00Z,104B_104OYE,0.318239575,0.5852322916666667
315,2018-06-04T00:00:00Z,104B_104OYE,0.3053124875000002,0.5605812504166667
316,2018-06-05T00:00:00Z,104B_104OYE,0.2941353875000001,0.5080937554166667
317,2018-06-06T00:00:00Z,104B_104OYE,0.2771770833333334,0.4302610391666667
318,2018-06-07T00:00:00Z,104B_104OYE,0.2596978500000001,0.36716146
319,2018-06-08T00:00:00Z,104B_104OYE,0.330926525,0.52701268125
320,2018-06-09T00:00:00Z,104B_104OYE,0.2351029833333332,0.1702060408333333
321,2018-06-10T00:00:00Z,104B_104OYE,0.3140104291666667,0.37775
322,2018-06-11T00:00:00Z,104B_104OYE,0.3241124208333333,0.3775479170833333
323,2018-06-12T00:00:00Z,104B_104OYE,0.3013437458333333,0.3318427091666666
324,2018-06-13T00:00:00Z,104B_104OYE,0.2845458458333334,0.2991761470833333
325,2018-06-14T00:00:00Z,104B_104OYE,0.2869479041666666,0.2920270854166666
326,2018-06-15T00:00:00Z,104B_104OYE,0.2811895666666666,0.2912562516666667
327,2018-06-16T00:00:00Z,104B_104OYE,0.260298125,0.2159895858333333
328,2018-06-17T00:00:00Z,104B_104OYE,0.2849583416666668,0.21591979375
329,2018-06-18T00:00:00Z,104B_104OYE,0.2766562083333333,0.2080062520833333
330,2018-06-19T00:00:00Z,104B_104OYE,0.291958375,0.1943
331,2018-06-20T00:00:00Z,104B_104OYE,0.2701539000000001,0.146434375125
332,2018-06-21T00:00:00Z,104B_104OYE,0.25716875,0.10525578725
333,2018-06-22T00:00:00Z,104B_104OYE,0.2519497583333333,0.0976787965
334,2018-06-23T00:00:00Z,104B_104OYE,0.2332812916666664,0.079413541875
335,2018-06-24T00:00:00Z,104B_104OYE,0.2178749125,0.0661864583333333
336,2018-06-25T00:00:00Z,104B_104OYE,0.1799666583333334,0.0216354168333333
337,2018-06-26T00:00:00Z,104B_104OYE,0.1569479416666667,0.00446458337
338,2018-06-27T00:00:00Z,104B_104OYE,0.2103437666666667,0.1334250017270833
339,2018-06-28T00:00:00Z,104B_104OYE,0.2399853916666666,0.174272916
340,2018-06-29T00:00:00Z,104B_104OYE,0.198958325,0.1131062499583333
341,2018-06-30T00:00:00Z,104B_104OYE,0.1818958791666667,0.115330207875
342,2018-07-01T00:00:00Z,104B_104OYE,0.1593729333333331,0.0905874998333333
343,2018-07-02T00:00:00Z,104B_104OYE,0.1592604166666666,0.1189687511666666
344,2018-07-03T00:00:00Z,104B_104OYE,0.1319999958333332,0.1166041671249999
